name,description,lead source,c_name_dba_c,c_name_generic_c,c_listing_address_c,c_listing_city_c,c_listing_postal_c,c_listing_downpayment_c,c_listing_askingprice_c,c_listing_terms_c,c_listing_reasonforselling_c,c_listing_support_training_c,c_listing_featured_c,c_listing_relocatable_c,c_listing_franchise_c,c_financial_grossrevenue_c,c_financial_rent_c,c_listing_hours_c,c_listing_yearsest_c,c_listing_frontend_id_c,c_financial_leasedequip_c,Assigned_Broker,NAICDescription,DateAgreement Signed,Date Agreement Expires,LicenseRequired:,Days Open:,HoursOpen:,Employees:,Employees:,Status,c_listing_featured_c,Management will Stay:,State | Province,Main Business Phone:,Building Size:,Real State Estd,Real Estate Included,Real Estate Available,Real Estate Price,Real Estate Asking:,Remarks,Web City:,FF & E Asking,FF & E Included,Inventory Price Included,Inventory Price,c_financial_grossrevenue_c,Annual Cash Flow:,Liens Total,Year Acquired:,Date Modified:,Date Entered:,Assigned To Name,Monthly Payroll:,Building Size Type:,Is property leased?,seller,listing broker,currency
Kids Place,"This daycare provides daily child care and preschool instruction for children, from the ages of 2 to 12 years old.  It was established over 30 years ago by the original founder who grew it into the well-known child care facility it is today.  Business is located in a desirable area, surrounded by residential, and easily accessible off a main highway.  The center is licensed to hold up to 54 students.  The building is 3,400 square feet and sits on one acre.  The facilities are in good condition and prime for a new owner to come in and even expand the business more.   Southwest Louisiana is booming!! Multiple billions of dollars of new industrial plants and expansions of existing plants are under construction or committed to be constructed. All of this has contributed to one of the lowest unemployment rates in the nation. Several casinos have opened recently and they are another major contributor to the economic boom. McNeese University located here has a large student population which is a good source of temp workers. Most economic prognostications predict the current boom will last for decades as it is heavily tied to the shale oil /gas fracking boom. After 28 years in childcare, the seller is ready to retire.  Seller will provide a transition period up to three months and will assist the buyer in obtaining the required licenses and permits. Seller is open to some owner financing for a qualified buyer with a reasonable down payment. Contact us today for more information on this day care business for sale, come meet the owner, make offer!",,Kids Place,"Preschool with Extended Care in Lake Charles, La",1776 Heard Rd,Lake Charles,,0,149900,,Retirement,Yes,1,Yes,Yes,295000,24000,,,LAFAYETLA1-N23,,"Don Pippin, Jr.",Child Day Care Services,10/6/2015 0:00,9/30/2016 0:00,,5 Days,,,,Active,2,1,LA,337-8556737,3600,1985,1,2,145000,0,"This daycare provides daily child care and preschool instruction for children, from the ages of 2 to 12 years old.  It was established over 30 years ago by the original founder who grew it into the well-known child care facility it is today.  Business is located in a desirable area, surrounded by residential, and easily accessible off a main highway.  The center is licensed to hold up to 54 students.  The building is 3,400 square feet and sits on one acre.  The facilities are in good condition and prime for a new owner to come in and even expand the business more.  
Southwest Louisiana is booming!! Multiple billions of dollars of new industrial plants and expansions of existing plants are under construction or committed to be constructed. All of this has contributed to one of the lowest unemployment rates in the nation. Several casinos have opened recently and they are another major contributor to the economic boom. McNeese University located here has a large student population which is a good source of temp workers. Most economic prognostications predict the current boom will last for decades as it is heavily tied to the shale oil /gas fracking boom.
After 28 years in childcare, the seller is ready to retire.  Seller will provide a transition period up to three months and will assist the buyer in obtaining the required licenses and permits. Seller is open to some owner financing for a qualified buyer with a reasonable down payment. Contact us today for more information on this day care business for sale, come meet the owner, make offer!
",Lake Charles,20000,2,2,0,295000,75000,0,1985,6/30/2016 20:39,6/20/2016 21:43,"Don Pippin, Jr.",9600,sq ft,1,,,
West End Car Wash Inc.,"Exceptional and highly regarded mini storage facility has been kept in pristine condition by the current owner/operator.  Facility also consists of a touch-free automatic carwash and 4 self-serve bays with spot-free rinse.  Carwash includes a separate drying and detail shed with 5 non-combination vacuums and 1 combination vacuum, shampoo and fragrance machine.  Mini-Storage facility consists of a fully fenced perimeter with 2 security gates containing 5 mini-storage buildings.  Buildings contain a total of 135 units (84 non-climate, 51 climate controlled).  Units vary in size.  Every renter has a unique security code which allows business to lock out a client who has not paid rent.  Two of the buildings are equipped with video camera surveillance.  RV and boat parking spaces can also be utilized for additional income.  A soft drink machine as well as ice vending is also on the premises.  All real estate is included in the sale and encompasses roughly 1.5 acres of commercial property. 	Business is located on a very high traffic street in a highly visible location.  Business has two entrances and is located next to a major and well known retailer in the Central Louisiana region.  This provides the business with plenty of exposure and customers who frequent the car wash facility.  This town in Central Louisiana is a very charming and affluent southern community.  This area is a great place to live and raise a family.  It has good schools and plenty of affordable housing, many with large or acreage lots.  Residents can find plenty of entertaining activities including hunting, camping, fishing, etc.  Area is also a short drive to either Baton Rouge, Louisiana, or Lafayette, both major cities with all the amenities. 	  Seller has other business interests and has presented this great opportunity for a new owner/operator to cut costs and make plenty of income.  Seller is highly motivated and will train the new owner on this very easy to own and operate business.  Seller will consider some seller financing to a qualified buyer.  Seller is open to substantive offers and will seriously consider and promptly respond to all reasonable offers.  Come see this fun and easy to own mini storage facility, meet the owner, make offer.",,,Convenience Store,743 S. Main St.,Church Point,70525,0,850000,,Other Business Interest,Yes,1,Yes,Yes,175000,0,24/7,,LAFAYETLA1-N24,,"Don Pippin, Jr.",Warehousing and Storage,1/8/2010 0:00,7/31/2010 0:00,,,24/7,1,,Inactive,2,1,LA,214-754-0898,,,2,2,0,0,"	Exceptional and highly regarded mini storage facility has been kept in pristine condition by the current owner/operator.  Facility also consists of a touch-free automatic carwash and 4 self-serve bays with spot-free rinse.  Carwash includes a separate drying and detail shed with 5 non-combination vacuums and 1 combination vacuum, shampoo and fragrance machine.  Mini-Storage facility consists of a fully fenced perimeter with 2 security gates containing 5 mini-storage buildings.  Buildings contain a total of 135 units (84 non-climate, 51 climate controlled).  Units vary in size.  Every renter has a unique security code which allows business to lock out a client who has not paid rent.  Two of the buildings are equipped with video camera surveillance.  RV and boat parking spaces can also be utilized for additional income.  A soft drink machine as well as ice vending is also on the premises.  All real estate is included in the sale and encompasses roughly 1.5 acres of commercial property.
	Business is located on a very high traffic street in a highly visible location.  Business has two entrances and is located next to a major and well known retailer in the Central Louisiana region.  This provides the business with plenty of exposure and customers who frequent the car wash facility.  This town in Central Louisiana is a very charming and affluent southern community.  This area is a great place to live and raise a family.  It has good schools and plenty of affordable housing, many with large or acreage lots.  Residents can find plenty of entertaining activities including hunting, camping, fishing, etc.  Area is also a short drive to either Baton Rouge, Louisiana, or Lafayette, both major cities with all the amenities.
	  Seller has other business interests and has presented this great opportunity for a new owner/operator to cut costs and make plenty of income.  Seller is highly motivated and will train the new owner on this very easy to own and operate business.  Seller will consider some seller financing to a qualified buyer.  Seller is open to substantive offers and will seriously consider and promptly respond to all reasonable offers.  Come see this fun and easy to own mini storage facility, meet the owner, make offer.
",Central,0,2,1,0,175000,90000,0,,6/22/2016 16:24,6/20/2016 21:43,"Don Pippin, Jr.",0,sq ft,1,,,
Mike's Car Care Inc,"Sunbelt Business Brokers of Lafayette presents this 30 + year old auto service business for sale in Metro Lafayette, Louisiana. Business provides computer diagnostics, brake service, A/C service and repair, and more! Facility is located right off a busy intersection in a prime area of town. Facility has several hydraulic lifts and service bays. Employee retention has been high and with great service has built a rock solid and large repeat customer base and reputation. Business has a comfortable seating/waiting area for clients. This is an excellent owner operator opportunity.  	Owner is ready to retire and is highly motivated to sell. Owner may consider some seller financing for a qualified buyer with proper down. Seller will help train new owner in a transition period to help facilitate a sale. Contact us today for more information on this auto service business for sale. Come meet the owner, see the great facility, make offer!",,Mike's Car Care,Auto Service Center Business For Sale in Metro Lafayette,103 Rena Dr,Lafayette,,0,349000,,Retirement,Yes,1,Yes,Yes,550000,2640,,,LAFAYETLA1-N25,,"Don Pippin, Jr.",Automotive Repair and Maintenance,3/17/2016 0:00,12/31/2016 0:00,,5 Days,,4,,Active,2,1,LA,337-984-4663,47000,1978,1,1,0,0,See Don Pippin for more information.,Lafayette Metro,15000,2,2,4000,550000,125000,0,1978,6/20/2016 21:44,6/20/2016 21:44,"Don Pippin, Jr.",0,sq ft,2,,,
"Architectural Wood Design, Inc.","This building materials business for sale is located in Baton Rouge, Louisiana.  For over 10 years the business has been specializing in decorative interior wood design for residential and commercial customers.  The businesses&acirc;&euro;&trade; customers are nationwide, as well as international, so the company can be relocated anywhere within the United States.  The business is also owner operated, maximizing profitability with less overhead.  There are great websites for the business included in the sale which showcase products and designs currently available or done over the years.  The business is currently located in Baton Rouge, Louisiana. 	Seller is ready for retirement and wishes to divest this building materials business for sale in Baton Rouge, Louisiana.  Seller will train the new owner on this easy to own and operate business.  Seller is open to substantive offers and will seriously consider and promptly respond to all reasonable offers.  Come see this building materials business for sale in Baton Rouge, Louisiana, meet the owner, make an offer.",,Architectural Turnings,Building Materials Business For Sale in Baton Rouge,"8450 Madrid, Suite E",Baton Rouge,70850,0,99500,,Retirement,Yes,1,Yes,Yes,140000,375,8 am - 5 pm,,LAFAYETLA1-N26,,"Don Pippin, Jr.",Custom Architectural Woodwork and Millwork Manufacturing,4/3/2013 0:00,10/2/2013 0:00,,Mon - Fri,8 am - 5 pm,,,Active,2,1,LA,225-892-7835,2000,2003,1,1,0,0,"	This building materials business for sale is located in Baton Rouge, Louisiana.  For over 10 years the business has been specializing in decorative interior wood design for residential and commercial customers.  The businesses’ customers are nationwide, as well as international, so the company can be relocated anywhere within the United States.  The business is also owner operated, maximizing profitability with less overhead.  There are great websites for the business included in the sale which showcase products and designs currently available or done over the years.  The business is currently located in Baton Rouge, Louisiana.
	Seller is ready for retirement and wishes to divest this building materials business for sale in Baton Rouge, Louisiana.  Seller will train the new owner on this easy to own and operate business.  Seller is open to substantive offers and will seriously consider and promptly respond to all reasonable offers.  Come see this building materials business for sale in Baton Rouge, Louisiana, meet the owner, make an offer.
",Baton Rouge,55000,2,2,3000,140000,50000,0,2003,6/20/2016 21:44,6/20/2016 21:44,"Don Pippin, Jr.",0,sq ft,2,,,
"Country Cuisine, Inc.","Established in 1986 and well-known in the community, this creole cuisine restaurant business for sale is located in Lafayette, Louisiana.  The business serves delicious authentic Creole food with other items including BBQ, pork roast, pork chops, red beans and rice, various types of seafood, and other fried items.  There is a very large and loyal customer base who visit often for lunch and dinner.  The restaurant has a great interior d&Atilde;&copy;cor that was built out by the original owners.  Measuring approximately 2,552 sq ft, the eating area seats around 50 patrons.  The sale includes the real estate. 	This Creole cuisine restaurant business for sale has a great corner location at the intersection of two high traffic streets.  The business fronts a very high traffic 4 lane commercial corridor with good visibility, easy accessibility, and plenty of parking.  Lafayette, Louisiana is a large city with all the luxuries of big city life.  Amenities include affordable housing, good schools, and an abundance of entertainment options for families and young professionals.  It is a great place to live and own a business. 	The seller of this Creole cuisine restaurant business for sale is highly motivated to divest of it quickly.  Seller will train the new owner on this very easy to own and operate restaurant.  Seller is open to substantive offers and will seriously consider and promptly respond to all reasonable offers.  Come see this popular Creole cuisine restaurant business for sale in Lafayette, Louisiana, meet the owner, make an offer.",,Country Cuisine,Creole Cuisine Restaurant For Sale in Lafayette,409 North University Avenue,Lafayette,70509,0,375000,,Personal,Yes,1,Yes,Yes,423295,0,,,LAFAYETLA1-N27,,"Don Pippin, Jr.",Full-Service Restaurants,7/8/2013 0:00,12/31/2013 0:00,,,,1,5,Active,2,1,LA,337-269-1653,2552,1986,2,2,0,0,"	Established in 1986 and well-known in the community, this creole cuisine restaurant business for sale is located in Lafayette, Louisiana.  The business serves delicious authentic Creole food with other items including BBQ, pork roast, pork chops, red beans and rice, various types of seafood, and other fried items.  There is a very large and loyal customer base who visit often for lunch and dinner.  The restaurant has a great interior décor that was built out by the original owners.  Measuring approximately 2,552 sq ft, the eating area seats around 50 patrons.  The sale includes the real estate.
	This Creole cuisine restaurant business for sale has a great corner location at the intersection of two high traffic streets.  The business fronts a very high traffic 4 lane commercial corridor with good visibility, easy accessibility, and plenty of parking.  Lafayette, Louisiana is a large city with all the luxuries of big city life.  Amenities include affordable housing, good schools, and an abundance of entertainment options for families and young professionals.  It is a great place to live and own a business.
	The seller of this Creole cuisine restaurant business for sale is highly motivated to divest of it quickly.  Seller will train the new owner on this very easy to own and operate restaurant.  Seller is open to substantive offers and will seriously consider and promptly respond to all reasonable offers.  Come see this popular Creole cuisine restaurant business for sale in Lafayette, Louisiana, meet the owner, make an offer.
",Lafayette,25000,2,1,0,423295,0,0,1986,6/20/2016 21:46,6/20/2016 21:46,"Don Pippin, Jr.",0,sq ft,1,,,
"Source Environmental Services, Inc.","This 21 year old, full scale environmental company specializes in N.O.R.M.  They specialize in waste handling, remediation, and new technologies to provide the greenest solution to any problem.  This full service environmental company serves primarily the oilfield community, in the U.S. and now in the Middle East.  It specializes in Decontamination and Remediation of Naturally Occurring Radioactive Materials (NORM) contaminated Equipment and Grounds.  It has been providing the engineering procedures and cost estimates, permitting, personnel and equipment, record keeping and compliance verification of every job both in its commercial decontamination facilities and at customers&acirc;&euro;&trade; facilities. 	Common sense solutions like putting waste back into underground formations, the source from which it was produced, has made the company successful.  Company is able to handle a wide range of projects: from small projects costing a few thousand dollars to major pipe decontamination jobs, including plug and abandonment of oil wells and remediation of their facilities ranging in cost into the millions of dollars. 	Company&acirc;&euro;&trade;s attention to safety, quality, and efficiency in treating NORM are an inseparable part of daily operation and has given the company the edge in assuring successful job completion.  A remarkable 75% of the company&acirc;&euro;&trade;s business comes from repeat customers. 	With a new owner and an injection of capital, company has the opportunity to acquire and complete a major project that will produce substantial benefit to the company.  This company with its great market niche would make an excellent acquisition for a major environmental remediation company. 	Seller desires to grow the company for a new owner or in the alternative retire.  Seller is open to substantive offers to which he will seriously consider and promptly reply.  Come see this outstanding company, meet the owner, be impressed, make offer.",,Source Environmental Services,Environmental Services and Remediation near Lafayette,4514 Bridge Street Highway,Saint Martinville,70582,0,1800000,,Growth or Retirement,Yes,1,Yes,Yes,1200000,0,7:30 am - 5 pm,,LAFAYETLA1-N28,,"Don Pippin, Jr.",Waste Management and Remediation Services,4/4/2011 0:00,7/4/2011 0:00,,Mon - Fri,7:30 am - 5 pm,12,4,Active,2,1,LA,337-895-5468,13000,1990,2,2,800000,0,"	This 21 year old, full scale environmental company specializes in N.O.R.M.  They specialize in waste handling, remediation, and new technologies to provide the greenest solution to any problem.  This full service environmental company serves primarily the oilfield community, in the U.S. and now in the Middle East.  It specializes in Decontamination and Remediation of Naturally Occurring Radioactive Materials (NORM) contaminated Equipment and Grounds.  It has been providing the engineering procedures and cost estimates, permitting, personnel and equipment, record keeping and compliance verification of every job both in its commercial decontamination facilities and at customers’ facilities.
	Common sense solutions like putting waste back into underground formations, the source from which it was produced, has made the company successful.  Company is able to handle a wide range of projects: from small projects costing a few thousand dollars to major pipe decontamination jobs, including plug and abandonment of oil wells and remediation of their facilities ranging in cost into the millions of dollars.
	Company’s attention to safety, quality, and efficiency in treating NORM are an inseparable part of daily operation and has given the company the edge in assuring successful job completion.  A remarkable 75% of the company’s business comes from repeat customers.
	With a new owner and an injection of capital, company has the opportunity to acquire and complete a major project that will produce substantial benefit to the company.  This company with its great market niche would make an excellent acquisition for a major environmental remediation company.
	Seller desires to grow the company for a new owner or in the alternative retire.  Seller is open to substantive offers to which he will seriously consider and promptly reply.  Come see this outstanding company, meet the owner, be impressed, make offer.
",Confidential,60000,2,1,5000,1200000,250000,450000,1990,6/20/2016 21:47,6/20/2016 21:47,"Don Pippin, Jr.",0,sq ft,1,,,
Kulaga Construction Co. INC,"This utility construction business for sale has been in business for 34 years now, and sees cash flows of over $1,000,000 annually. The business revenues at nearly $7,000,000! One of the greatest things about this business is the management is already in place, and is willing to stay on with the business, and the business itself can be relocated to the new owner&acirc;&euro;&trade;s convenience.  	This utility construction business has proven its resilience over the years. The workload is consistent, and customer base is strong. The office building is approximately 1500 sq ft, which the yard is roughly 2500 sq ft. There is a very affordable lease attached to this space.  	Seller is wishing to divest due to retirement. All reasonable offers will be considered and promptly responded to. Seller will thoroughly train new owner on this very easy to own and operate utility construction business for sale. Seller will consider financing the sale, for a qualified buyer with a substantive down payment. Come see this exceptionally good business, meet the owner and make an offer. Business of this high quality and high profitability are hard to find. Act fast!!! This one won&acirc;&euro;&trade;t last long.",,Kulaga Construction Co. INC,Very Profitable Utility Construction Business For Sale in Central Louisiana,1808 US 190 ,DeRidder,,0,4500000,,Retirement,Yes,1,No,Yes,6947100,1250,8-4:30,,LAFAYETLA1-N29,,"Don Pippin, Jr.",Utility System Construction,10/17/2013 0:00,11/6/2014 0:00,,M-F,8-4:30,42,0,Active,2,1,LA,3374638037,1500,1979,1,1,0,0,"This utility construction business for sale has been in business for 34 years now, and sees cash flows of over $1,000,000 annually. The business revenues at nearly $7,000,000! One of the greatest things about this business is the management is already in place, and is willing to stay on with the business, and the business itself can be relocated to the new owner’s convenience. 
	This utility construction business has proven its resilience over the years. The workload is consistent, and customer base is strong. The office building is approximately 1500 sq ft, which the yard is roughly 2500 sq ft. There is a very affordable lease attached to this space. 
	Seller is wishing to divest due to retirement. All reasonable offers will be considered and promptly responded to. Seller will thoroughly train new owner on this very easy to own and operate utility construction business for sale. Seller will consider financing the sale, for a qualified buyer with a substantive down payment. Come see this exceptionally good business, meet the owner and make an offer. Business of this high quality and high profitability are hard to find. Act fast!!! This one won’t last long. 
",Central,3000000,2,2,50000,6947100,1200000,0,1979,6/20/2016 21:48,6/20/2016 21:48,"Don Pippin, Jr.",180000,sq ft,1,,,
JDK Therapy Group,"For 14 years this quality physical therapy clinic has established a great reputation and immense respect in its community.  Business specializes in spinal pain but also treats a wide range of orthopedic and neurological conditions. From athletic injuries to post-surgical rehab to stroke, they satisfy a variety of needs.  The metro Lafayette, Louisiana region is a great place to live, work, and raise a family. The economy is booming as Lafayette is the epicenter of the booming oil and gas industry in south Louisiana. The area has plenty of affordable housing. Lafayette is a home to the University of Louisiana Lafayette, a major university with a top notch athletic program. Lafayette is in the heart of Cajun country an area were the residents are exceptionally friendly and love to have a good time. Outdoor recreational activities like hunting, fishing, boating, golfing, hiking, etc. abound. Seller has other business interests and is highly motivated to sell this physical therapy clinic.  Seller will train and transition the business to the new owner while making proper introductions to therapists and clients.  Seller is open to substantive offers and will seriously consider and promptly respond to all reasonable offers.  Come see this well-run and successful physical therapy clinic, meet the owner, make an offer!",,Superior Rehab,"Physical Therapy Clinic For Sale Near Lafayette, LA",1401 Church St.,Jeanerette,,0,135000,,Other business interests,Yes,1,Yes,Yes,134249,0,,,LAFAYETLA1-N30,,"Don Pippin, Jr.","Offices of Physical, Occupational and Speech Therapists, and Audiologists",6/24/2015 0:00,6/24/2016 0:00,Yes,3,,2,0,Active,2,1,LA,3372762803,1000,2001,1,1,0,0,"	For 14 years this quality physical therapy clinic has established a great reputation and immense respect in its community.  Business specializes in spinal pain but also treats a wide range of orthopedic and neurological conditions. From athletic injuries to post-surgical rehab to stroke, they satisfy a variety of needs. 
The metro Lafayette, Louisiana region is a great place to live, work, and raise a family. The economy is booming as Lafayette is the epicenter of the booming oil and gas industry in south Louisiana. The area has plenty of affordable housing. Lafayette is a home to the University of Louisiana Lafayette, a major university with a top notch athletic program. Lafayette is in the heart of Cajun country an area were the residents are exceptionally friendly and love to have a good time. Outdoor recreational activities like hunting, fishing, boating, golfing, hiking, etc. abound.
Seller has other business interests and is highly motivated to sell this physical therapy clinic.  Seller will train and transition the business to the new owner while making proper introductions to therapists and clients.  Seller is open to substantive offers and will seriously consider and promptly respond to all reasonable offers.  Come see this well-run and successful physical therapy clinic, meet the owner, make an offer!
",Lafayette,8000,2,1,0,134249,60000,0,2001,6/20/2016 21:48,6/20/2016 21:48,"Don Pippin, Jr.",2600,sq ft,2,,,
The Corner Store,"Grocery store business for sale in south Louisiana has been in operation for over three decades. Store has branded gas and operates out of an approximate 10,000sqft building. Real estate and building are included in the purchase of the business. Open 7 days a week business did approximately $4 million in sales last year. Being the premier stop in its town, grocery store is at the epicenter for all patrons in the surrounding area to get their groceries, fresh meat products, boudin, hunting and fishing licenses and other necessities. A nice adjacent house is also available for sale. Store has a great deli that does a lot of takeout business.    	Owner has decided to retire and sell the business. Seller will help train new owner on this easy to own and operate business. Owner will possibly consider some seller financing for a qualified buyer with a reasonable down payment. Contact us today for more information on this grocery store business for sale. Come meet the owner, see the great facility, make offer!",,The Corner Store,Grocery Store Business For Sale near Lafayette,1001 N. Main,Loreauville,,0,0,,Retirement,Yes,1,Yes,Yes,3915000,0,,,LAFAYETLA1-N31,,"Don Pippin, Jr.",Grocery Stores,10/3/2015 0:00,10/3/2016 0:00,,7 Days,,17,,Active,2,1,LA,337-229-3033,10000,1985,2,2,0,0,"Grocery store business for sale in south Louisiana has been in operation for over three decades. Store has branded gas and operates out of an approximate 10,000sqft building. Real estate and building are included in the purchase of the business. Open 7 days a week business did approximately $4 million in sales last year. Being the premier stop in its town, grocery store is at the epicenter for all patrons in the surrounding area to get their groceries, fresh meat products, boudin, hunting and fishing licenses and other necessities. A nice adjacent house is also available for sale. Store has a great deli that does a lot of takeout business.   
	Owner has decided to retire and sell the business. Seller will help train new owner on this easy to own and operate business. Owner will possibly consider some seller financing for a qualified buyer with a reasonable down payment. Contact us today for more information on this grocery store business for sale. Come meet the owner, see the great facility, make offer! 
",South,420000,2,2,200000,3915000,181900,0,1988,6/20/2016 21:49,6/20/2016 21:49,"Don Pippin, Jr.",0,sq ft,1,,,
"Southern Pro Home Center, Inc.","Very popular nationally franchise Hardware Store has all the tool supplies, rentals, and hardware its customers need to get their projects done.  Store sells various types of hardware tools, rents large tools for the bigger jobs, and also carries a wide array of swimming pool supplies.  Business' large and loyal customer base knows that they can find the right tool for the job and therefore return often. 	Business resides in a very nice residential section of a suburban city in the metropolitan Lafayette, Louisiana area.  Business is in a highly visible and easily accessible location and has great signage advertising its location.  Property includes a very spacious retail building measuring approximately 14,000 sq ft.  Real estate is included in the sale.  This particular location is just a short drive to the metropolitan city of Lafayette located in the Acadiana region of Louisiana.  This area is known for its hospitality and charming southern living.  There is great food and plenty of outdoor activities.  Lafayette is a great place to live and raise a family and offers plenty of affordable housing, many with large or acreage lots. 	Seller is forced to sell this highly successful business due to health reasons. Seller and franchisor will train new owner on this very easy to own and operate business.  Seller is highly motivated to sell and is open to substantive offers.  Seller will seriously consider and promptly respond to all reasonable offers.  Opportunities to purchase a proven and highly successful franchise of this caliber do not come along often.  Be the first to visit this popular Ace Hardware franchise, meet the owner, make offer.",,Southern Pro Ace Home Center,Franchise Hardware Store near Lafayette,741 S. Main St.,Church Point,70525,0,1700000,,Health Issues,Yes,1,Yes,2,800000,0,7 am - 7 pm (Sunday 8 am - 5 pm),,LAFAYETLA1-N33,,"Don Pippin, Jr.",Hardware Stores,12/21/2009 0:00,12/21/2010 0:00,,7 days,7 am - 7 pm (Sunday 8 am - 5 pm),6,,Active,2,1,LA,337-685-3053,14000,1999,2,2,0,0,"	Very popular nationally franchised Ace Hardware Store has all the tool supplies, rentals, and hardware its customers need to get their projects done.  Store sells various types of hardware tools, rents large tools for the bigger jobs, and also carries a wide array of swimming pool supplies.  Business? large and loyal customer base knows that they can find the right tool for the job and therefore return often.
	Business resides in a very nice residential section of a suburban city in the metropolitan Lafayette, Louisiana area.  Business is in a highly visible and easily accessible location and has great signage advertising its location.  Property includes a very spacious retail building measuring approximately 14,000 sq ft.  Real estate is included in the sale.  This particular location is just a short drive to the metropolitan city of Lafayette located in the Acadiana region of Louisiana.  This area is known for its hospitality and charming southern living.  There is great food and plenty of outdoor activities.  Lafayette is a great place to live and raise a family and offers plenty of affordable housing, many with large or acreage lots.
	Seller is forced to sell this highly successful business due to health reasons. Seller and franchisor will train new owner on this very easy to own and operate business.  Seller is highly motivated to sell and is open to substantive offers.  Seller will seriously consider and promptly respond to all reasonable offers.  Opportunities to purchase a proven and highly successful franchise of this caliber do not come along often.  Be the first to visit this popular Ace Hardware franchise, meet the owner, make offer.
",Lafayette Metro,0,2,2,700000,800000,200000,0,1999,6/20/2016 21:50,6/20/2016 21:50,"Don Pippin, Jr.",9800,sq ft,1,,,
Bethel Investment Inc,"Sunbelt Business Brokers of Lafayette presents this decade old restaurant business for sale.  Business is a local favorite open 7 days a week and has won several regional awards for it type of cuisine. Business occupies a large leased space of approximately 10,000sqft and can seat approximately 200 people right near a high traffic intersection. Business has plenty of parking and space for customers. Restaurant has a large bar area to help accommodate crowds while they wait for seat. Restaurant also has large party rooms for private parties and business gatherings.  	Owner has other interests and is highly motivated to sell. Owner will help train buyer in a transition period to facilitate a sale. Seller may consider some owner financing for a qualified buyer with a reasonable down payment. Large restaurants with strong high volume sales don&acirc;&euro;&trade;t come around often, act fast before it&acirc;&euro;&trade;s gone!",,Tokyo Live,"Restaurant Business For Sale in Lafayette, LA",1601 West Pinehook,Lafayette,,0,270000,,Other Interests,Yes,1,Yes,Yes,1091721,8666,,,LAFAYETLA1-N35,,Jason Lopez,Full-Service Restaurants,3/30/2016 0:00,3/30/2017 0:00,,7 Days,,7,13,Active,2,1,LA,,10000,2004,1,1,0,0,See Jason Lopez for more details.,Lafayette,100000,2,2,20000,1091721,123237,0,2004,6/20/2016 22:00,6/20/2016 22:00,Jason Lopez,24000,sq ft,2,,,
MEK Sales LLC,"Sunbelt Business Brokers of Lafayette presents this 3 year old specialty restaurant business for sale. Restaurant is open for breakfast and lunch with great hot plate specials every day. Business also serves a variety of sandwiches and food for people on the go looking for a quick bite to eat. Restaurant also does catering and other specialty events. Business is located on a very busy main road in town with good visibility from the road. Business is priced to sell and is an excellent owner operator opportunity so it won&acirc;&euro;&trade;t last long.  	Owner has decided to retire and is highly motivated to sell. Seller will help train new owner on this easy to own and operate business. Owner will consider some seller financing for a qualified buyer with a reasonable down payment. Contact us today for more information on this specialty restaurant business for sale. Come taste the great food, enjoy the friendly atmosphere, make offer!",,Good to Geaux,"Specialty Restaurant Business For Sale in Lafayette, LA",4807 Johnston St Ste. L,Lafayette,,0,49500,,Retiring,,1,Yes,Yes,95000,1150,,,LAFAYETLA1-N36,,Jason Lopez,Full-Service Restaurants,12/14/2015 0:00,12/14/2016 0:00,Yes,6 Days,,2,,Active,2,1,LA,337.534.8852,900,2013,1,1,0,0,Available ,Lafayette,18000,2,2,1000,95000,0,0,2013,6/20/2016 22:04,6/20/2016 22:03,Jason Lopez,1600,sq ft,2,,,
"William E. Felder III, Inc","Sunbelt Business Brokers of Lafayette presents this well established thirty plus year old CPA firm business for sale in metro New Orleans, LA. CPA firm has an excellent reputation and retention of clients better than the national average. Firm has clients from several states. Owner owns the real estate and is willing to lease the facility to the new owner. For someone looking to own their own practice or acquire clients, this is a perfect fit. Business is located in an affluent suburb city on the east bank of Jefferson Parish. Office is on a very high traffic street with good visibility.    	Seller has decided to enjoy retirement and is motivated to sell the business. Seller will help train new owner on this easy to own and operate business. Owner may consider some seller financing for a qualified buyer with a reasonable down payment. Contact us today for more information on this excellent CPA firm for sale.",,"William E. Felder III, Inc","CPA Firm For Sale in Metro New Orleans, La",8827 Jefferson Hwy,River Ridge,,0,650000,,Retirement,Yes,1,Yes,Yes,411000,3000,,,LAFAYETLA1-N38,,Jason Lopez,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",1/18/2016 0:00,1/16/2017 0:00,,5 Days,,2,1,Active,2,1,LA,504-738-5480,1200,1980,1,1,0,0,Brother owns a portion of the business. See Jason for more information. ,New Orleans Metro,20000,2,2,1000,411000,365000,0,,6/20/2016 22:08,6/20/2016 22:08,Jason Lopez,0,sq ft,2,,,
